section,phase,ratio,version,embedding_key,embedding_label,selection_strategy,selection_scope,predictor,hyperparam_policy,K,tau,item_r_mean,item_r_ci_lower,item_r_ci_upper,trait_r_mean,profile_r_mean,item_mae_mean,reference,source_artifact,within_minus_between_raw_cosine,mean_selected_set_coverage_shifted_cosine,mean_selected_set_redundancy_shifted_cosine,delta_item_r_vs_sbert,p_vs_sbert_holm,delta_item_r_selection_vs_A,p_selection_holm,jaccard_mean_vs_s_old
phase4_version_result,phase4,10.0,A1_fixed,e5_base_v2,E5-base-v2,Coverage,S_old_fixed,SoftmaxKNN,fixed_phase2_preregistered,7.0,0.0999999999999999,0.2281345132593158,0.2223938885054867,0.233875138013145,0.5186964568457391,0.6707604663341227,1.051237280955627,Phase 4 A/B embedding and re-selection comparison,results/phase4/figures/table4.csv,,,,-0.0481801713904087,0.0,,,
phase4_version_result,phase4,10.0,A1_fixed,bge_base_en_v15,BGE-base-en-v1.5,Coverage,S_old_fixed,SoftmaxKNN,fixed_phase2_preregistered,7.0,0.0999999999999999,0.2866200868824878,0.2806324415681525,0.292607732196823,0.6077965378169858,0.6993929005414944,1.0185200889969457,Phase 4 A/B embedding and re-selection comparison,results/phase4/figures/table4.csv,,,,0.0103054022327632,0.0,,,
phase4_version_result,phase4,30.0,A1_fixed,sbert_original,SBERT (original),Coverage,S_old_fixed,SoftmaxKNN,fixed_phase2_preregistered,7.0,0.0999999999999999,0.3693266655304461,0.3639096616350068,0.3747436694258854,0.8583583848106955,0.8805143978384075,0.9468409688080922,Phase 4 A/B embedding and re-selection comparison,results/phase4/figures/table4.csv,,,,,,,,
phase4_version_result,phase4,30.0,A1_fixed,minilm_l6_v2,MiniLM-L6-v2,Coverage,S_old_fixed,SoftmaxKNN,fixed_phase2_preregistered,7.0,0.0999999999999999,0.4041621165437622,0.3981993941340921,0.4101248389534322,0.8744299674842594,0.9006798307539409,0.9285993308391124,Phase 4 A/B embedding and re-selection comparison,results/phase4/figures/table4.csv,,,,0.034835451013316,0.0,,,
phase4_version_result,phase4,30.0,A1_fixed,mpnet_base_v2,MPNet-base-v2,Coverage,S_old_fixed,SoftmaxKNN,fixed_phase2_preregistered,7.0,0.0999999999999999,0.4391286192892916,0.4332682038357635,0.4449890347428196,0.8877667002221947,0.9042914640999332,0.903873793070903,Phase 4 A/B embedding and re-selection comparison,results/phase4/figures/table4.csv,,,,0.0698019537588454,0.0,,,
phase4_version_result,phase4,30.0,A1_fixed,e5_base_v2,E5-base-v2,Coverage,S_old_fixed,SoftmaxKNN,fixed_phase2_preregistered,7.0,0.0999999999999999,0.3901082268336482,0.3844712597981037,0.3957451938691927,0.8587316874780081,0.9045319155917564,0.95948111651666,Phase 4 A/B embedding and re-selection comparison,results/phase4/figures/table4.csv,,,,0.020781561303202,0.0,,,
phase4_version_result,phase4,30.0,A1_fixed,bge_base_en_v15,BGE-base-en-v1.5,Coverage,S_old_fixed,SoftmaxKNN,fixed_phase2_preregistered,7.0,0.0999999999999999,0.4117905365292918,0.4062243233194162,0.4173567497391674,0.8726811213633139,0.902878138456454,0.9378067914276362,Phase 4 A/B embedding and re-selection comparison,results/phase4/figures/table4.csv,,,,0.0424638709988457,0.0,,,
phase4_version_result,phase4,50.0,A1_fixed,sbert_original,SBERT (original),Coverage,S_old_fixed,SoftmaxKNN,fixed_phase2_preregistered,10.0,0.0999999999999999,0.4285897117895408,0.4225795524377921,0.4345998711412895,0.9412585827305826,0.9431270358425694,0.8849274836275093,Phase 4 A/B embedding and re-selection comparison,results/phase4/figures/table4.csv,,,,,,,,
phase4_version_result,phase4,50.0,A1_fixed,minilm_l6_v2,MiniLM-L6-v2,Coverage,S_old_fixed,SoftmaxKNN,fixed_phase2_preregistered,10.0,0.0999999999999999,0.4469040262314689,0.4407068125944636,0.4531012398684743,0.943029199158988,0.954930931225173,0.8820264717563905,Phase 4 A/B embedding and re-selection comparison,results/phase4/figures/table4.csv,,,,0.0183143144419281,0.0,,,
phase4_version_result,phase4,50.0,A1_fixed,mpnet_base_v2,MPNet-base-v2,Coverage,S_old_fixed,SoftmaxKNN,fixed_phase2_preregistered,10.0,0.0999999999999999,0.4814840358207509,0.4751935956195629,0.4877744760219389,0.946320540937908,0.9515072873698328,0.8540690644837376,Phase 4 A/B embedding and re-selection comparison,results/phase4/figures/table4.csv,,,,0.05289432403121,0.0,,,
phase4_version_result,phase4,50.0,A1_fixed,e5_base_v2,E5-base-v2,Coverage,S_old_fixed,SoftmaxKNN,fixed_phase2_preregistered,10.0,0.0999999999999999,0.4486700243948257,0.4427401773632208,0.4545998714264306,0.936321102123463,0.9602088903900288,0.9192351295036204,Phase 4 A/B embedding and re-selection comparison,results/phase4/figures/table4.csv,,,,0.0200803126052849,0.0,,,
