embedding_key,embedding_label,ratio,fold,version_scope,s_new_hash,s_old_fold_hash,s_new_size,s_old_size,intersection_n,union_n,jaccard_overlap,selection_changed,items_only_in_s_new,items_only_in_s_old,s_new_coverage,s_new_redundancy,s_old_coverage,s_old_redundancy
e5_base_v2,E5-base-v2,90,0,B1_and_B2_shared_selection,4ab1827017a9d4a9,e4aca0f6b9e84075,90,90,81,99,0.8181818181818182,True,"24,33,34,37,46,60,64,76,99","3,10,11,35,48,50,67,80,94",0.9963119330337014,0.8834642611020297,0.9945457838532562,0.628319119336572
e5_base_v2,E5-base-v2,90,1,B1_and_B2_shared_selection,4ab1827017a9d4a9,e4aca0f6b9e84075,90,90,81,99,0.8181818181818182,True,"24,33,34,37,46,60,64,76,99","3,10,11,35,48,50,67,80,94",0.9963119330337014,0.8834642611020297,0.9945457838532562,0.628319119336572
e5_base_v2,E5-base-v2,90,2,B1_and_B2_shared_selection,4ab1827017a9d4a9,e4aca0f6b9e84075,90,90,81,99,0.8181818181818182,True,"24,33,34,37,46,60,64,76,99","3,10,11,35,48,50,67,80,94",0.9963119330337014,0.8834642611020297,0.9945457838532562,0.628319119336572
e5_base_v2,E5-base-v2,90,3,B1_and_B2_shared_selection,4ab1827017a9d4a9,e4aca0f6b9e84075,90,90,81,99,0.8181818181818182,True,"24,33,34,37,46,60,64,76,99","3,10,11,35,48,50,67,80,94",0.9963119330337014,0.8834642611020297,0.9945457838532562,0.628319119336572
e5_base_v2,E5-base-v2,90,4,B1_and_B2_shared_selection,4ab1827017a9d4a9,e4aca0f6b9e84075,90,90,81,99,0.8181818181818182,True,"24,33,34,37,46,60,64,76,99","3,10,11,35,48,50,67,80,94",0.9963119330337014,0.8834642611020297,0.9945457838532562,0.628319119336572
bge_base_en_v15,BGE-base-en-v1.5,10,0,B1_and_B2_shared_selection,ec0db881349d9b77,92745849571d4031,10,10,4,16,0.25,True,"35,43,45,58,60,73","12,40,41,48,67,80",0.8710806690581343,0.7816366087843026,0.8111275356842519,0.6411336607517674
bge_base_en_v15,BGE-base-en-v1.5,10,1,B1_and_B2_shared_selection,ec0db881349d9b77,92745849571d4031,10,10,4,16,0.25,True,"35,43,45,58,60,73","12,40,41,48,67,80",0.8710806690581343,0.7816366087843026,0.8111275356842519,0.6411336607517674
bge_base_en_v15,BGE-base-en-v1.5,10,2,B1_and_B2_shared_selection,ec0db881349d9b77,92745849571d4031,10,10,4,16,0.25,True,"35,43,45,58,60,73","12,40,41,48,67,80",0.8710806690581343,0.7816366087843026,0.8111275356842519,0.6411336607517674
bge_base_en_v15,BGE-base-en-v1.5,10,3,B1_and_B2_shared_selection,ec0db881349d9b77,92745849571d4031,10,10,4,16,0.25,True,"35,43,45,58,60,73","12,40,41,48,67,80",0.8710806690581343,0.7816366087843026,0.8111275356842519,0.6411336607517674
bge_base_en_v15,BGE-base-en-v1.5,10,4,B1_and_B2_shared_selection,ec0db881349d9b77,92745849571d4031,10,10,4,16,0.25,True,"35,43,45,58,60,73","12,40,41,48,67,80",0.8710806690581343,0.7816366087843026,0.8111275356842519,0.6411336607517674
